feature,permutation_importance
license_acquiring_date,0.03977586729236948
accident_year,0.023580126194370554
accident_month,0.015926662258545443
age_group=1,0.0010306875596873821
age_group=2,0.0006313894872327364
age_group=3,0.0005896652482813014
age_group=4,0.0037009232681299853
age_group=5,0.004251952301798534
age_group=6,0.0030287532802019124
age_group=7,0.003775348373258103
age_group=8,0.00342450877672007
age_group=9,0.0019493307010973737
age_group=10,0.001774963043451594
age_group=11,0.0013736935917241233
age_group=12,0.0009335791753142253
age_group=13,0.0011324898001225936
age_group=14,0.0011118044805449312
age_group=15,0.0014528922940981737
age_group=16,0.002412143029393743
age_group=17,0.0011290681784063006
age_group=99,0.042697734898774264
sex=1.0,0.012598574669024476
sex=2.0,0.009709432898258097
vehicle_type=1.0,0.07683820424614773
vehicle_type=2.0,0.004291153282676374
vehicle_type=3.0,0.0023993629608364264
vehicle_type=4.0,0.00043033336814202183
vehicle_type=6.0,0.00013550806032203155
vehicle_type=8.0,0.0005046841018626624
vehicle_type=9.0,0.0023870284495011163
vehicle_type=10.0,0.0014269841954530627
vehicle_type=11.0,0.007385691160310626
vehicle_type=12.0,0.003926367973302813
vehicle_type=15.0,0.0020533315966043686
vehicle_type=17.0,0.0010730777851946094
vehicle_type=18.0,0.0004644513183910126
vehicle_type=19.0,0.0031636392518927803
safety_measures=1.0,0.012168331244642339
safety_measures=2.0,0.002170262511683063
safety_measures=4.0,0.0015006169900282362
safety_measures=5.0,0.025081135312342684
population_type=1.0,0.008593263057740996
population_type=2.0,0.009478640298220542
population_type=3.0,0.0005666310541285746
population_type=4.0,0.0005084061625855174
home_region=1.0,0.0012176357986860564
home_region=2.0,0.009312587337068745
home_region=3.0,0.0021470981004452216
home_region=4.0,0.0057900357005844505
home_region=5.0,0.003405913105747116
home_region=6.0,0.0024419141454002924
home_region=7.0,0.0017545130543379361
home_district=11,0.0014965705947923569
home_district=21,0.00027385686676550947
home_district=22,0.00016662578208181955
home_district=23,0.0017989782958082179
home_district=24,0.0035734772563080774
home_district=31,0.0012826507728722625
home_district=32,0.0009575797950295284
home_district=41,0.0007967803549167041
home_district=42,0.0007838369109032239
home_district=43,0.00022593805340753725
home_district=44,0.0015415689208451155
home_district=51,0.0025974627493623448
home_district=61,0.000994724554162607
home_district=62,0.0019685684631198797
home_district=73,0.00016192534804326808
home_district=74,5.10958417453411e-05
home_district=76,0.00018363025397272192
home_district=99,0.015482092404159209
home_natural_area=111.0,0.0007211534937622277
home_natural_area=112.0,0.00017686675172434718
home_natural_area=221.0,9.417863420302375e-05
home_natural_area=222.0,7.983542364686791e-05
home_natural_area=234.0,0.0001311758587210221
home_natural_area=237.0,0.0007663432523543623
home_natural_area=241.0,0.0012646532950240097
home_natural_area=242.0,0.0006450813438744207
home_natural_area=243.0,0.00028485819678936153
home_natural_area=245.0,0.0002683136462731106
home_natural_area=246.0,0.00048164722282151295
home_natural_area=311.0,0.00110552748006576
home_natural_area=323.0,0.00023167002155100036
home_natural_area=324.0,0.00029780164080284166
home_natural_area=411.0,0.0003810733188076565
home_natural_area=412.0,0.00018206832017375607
home_natural_area=421.0,0.00043549640844364745
home_natural_area=422.0,0.0004172011764772554
home_natural_area=431.0,0.00025471884834527003
home_natural_area=432.0,0.00010388920415138614
home_natural_area=441.0,0.0003335493182818894
home_natural_area=442.0,0.00022254301208590732
home_natural_area=511.0,0.0006818073946690539
home_natural_area=512.0,0.0007641565450358101
home_natural_area=513.0,0.0004632044562401516
home_natural_area=611.0,9.525138134414135e-05
home_natural_area=612.0,0.0002047369667772525
home_natural_area=613.0,0.0007362039039102708
home_natural_area=614.0,0.0004176491500988977
home_natural_area=623.0,0.0004124063686131718
home_natural_area=730.0,0.000172614291307438
home_natural_area=740.0,8.918044604611097e-05
home_natural_area=760.0,0.0001561402191103678
home_residence_type=9.0,0.00020931376170718607
home_residence_type=10.0,0.00017539919175080243
home_residence_type=11.0,0.0007703072215178297
home_residence_type=12.0,0.0010454136353225119
home_residence_type=13.0,0.001919329624403554
home_residence_type=14.0,0.004362272619020446
home_residence_type=15.0,0.0014116957699524812
home_residence_type=16.0,0.003673439811244128
home_residence_type=17.0,0.0008962429836416597
home_residence_type=18.0,0.00037826183796940693
home_residence_type=19.0,0.00017338928433030532
home_residence_type=25.0,0.0006742542667560469
home_residence_type=26.0,0.0013466900586310837
home_residence_type=27.0,0.0016919598542820546
home_residence_type=28.0,0.0011227699673093117
home_residence_type=31.0,0.001271884773312415
home_residence_type=33.0,0.00047477739899426386
home_residence_type=37.0,0.0001947552231051919
car_id=1.0,0.029386185040153223
car_id=2.0,0.018027565378199273
car_id=3.0,0.0012206067618922845
car_id=4.0,0.00021649865718265104
involve_id=1,0.016893569489955462
involve_id=2,0.01052999049017922
involve_id=3,0.0030648252921938735
involve_id=4,0.0011571271411104922
involve_id=5,0.0007254352194622227
involve_id=6,0.0003522805761166925
